,labels,NOS,R1,FA,yeo,economo,color_yeo,color_ve,color1,color2,color3,color4,color5,color6,color7,color1_ve,color2_ve,color3_ve,color4_ve,color5_ve,color6_ve,color7_ve
50,caudalmiddlefrontal_1_R,909,1.14699392,0.44188089,fp,asc1,#d62728,#ff7f0e,"rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,1)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,1)","rgba(255,127,14,0.2)"
51,superiorfrontal_8_R,901,1.14329479,0.44681999,dmn,asc1,#9467bd,#ff7f0e,"rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,1)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,1)","rgba(255,127,14,0.2)"
52,superiorparietal_4_R,900.5,1.1810732,0.42671879,da,asc1,#e377c2,#ff7f0e,"rgba(227,119,194,0.2)","rgba(227,119,194,0.2)","rgba(227,119,194,0.2)","rgba(227,119,194,0.2)","rgba(227,119,194,0.2)","rgba(227,119,194,0.2)","rgba(227,119,194,1)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,1)","rgba(255,127,14,0.2)"
53,rostralmiddlefrontal_1_L,886,1.16546433,0.43434567,fp,asc2,#d62728,#2ca02c,"rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,1)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,1)"
54,rostralmiddlefrontal_5 _L,877,1.17343529,0.39540821,fp,asc2,#d62728,#2ca02c,"rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,1)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,1)"
55,paracentral_2_R,875,1.13850719,0.47983408,sm,pm,#1f77b4,#1f77b4,"rgba(31,119,180,1)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,1)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)"
56,superiorfrontal_1_R,874.5,1.1540843,0.43875262,dmn,asc1,#9467bd,#ff7f0e,"rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,1)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,1)","rgba(255,127,14,0.2)"
57,pericalcarine_1_L,862,1.112805,0.39708354,vis,ps,#2ca02c,#9467bd,"rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,1)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,1)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)"
58,lateraloccipital_5_L,851.5,1.14049478,0.38022402,vis,pss,#2ca02c,#d62728,"rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,1)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,1)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)"
59,lateraloccipital_1_R,848.5,1.16111579,0.4265098,vis,pss,#2ca02c,#d62728,"rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,1)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)","rgba(214,39,40,1)","rgba(214,39,40,0.2)","rgba(214,39,40,0.2)"
60,precentral_4_L,843.5,1.1096575,0.43978714,sm,pm,#1f77b4,#1f77b4,"rgba(31,119,180,1)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,1)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)","rgba(31,119,180,0.2)"
61,supramarginal_4_L,836,1.16328727,0.43293608,va,asc2,#ff7f0e,#2ca02c,"rgba(255,127,14,0.2)","rgba(255,127,14,1)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,1)"
62,superiorfrontal_1_L,829.5,1.17542704,0.45973566,dmn,asc1,#9467bd,#ff7f0e,"rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,1)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,1)","rgba(255,127,14,0.2)"
63,inferiortemporal_4_L,827,1.15622291,0.43146047,lim,asc1,#8c564b,#ff7f0e,"rgba(140,86,75,0.2)","rgba(140,86,75,0.2)","rgba(140,86,75,0.2)","rgba(140,86,75,0.2)","rgba(140,86,75,0.2)","rgba(140,86,75,1)","rgba(140,86,75,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,0.2)","rgba(255,127,14,1)","rgba(255,127,14,0.2)"
64,inferiorparietal_2_L,825,1.16251672,0.42276704,dmn,asc2,#9467bd,#2ca02c,"rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(148,103,189,1)","rgba(148,103,189,0.2)","rgba(148,103,189,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,0.2)","rgba(44,160,44,1)"
